text	n	freq
את זה	2	24863
אני לא	2	23329
זה לא	2	9934
אתה לא	2	6669
אני רוצה	2	6518
אתה יודע	2	6456
כל כך	2	6276
מה אתה	2	6056
יש לי	2	5644
לא יכול	2	5191
לא יודע	2	5142
זה היה	2	4900
על זה	2	4803
יש לך	2	4790
אני יודע	2	4735
הוא לא	2	4509
מה זה	2	4457
לי את	2	4079
אני חושב	2	3894
אתה רוצה	2	3851
אבל אני	2	3816
את כל	2	3612
לא רוצה	2	3608
יש לנו	2	3365
מה קורה	2	3208
לא לא	2	3080
מה קרה	2	3065
אני יכול	2	3034
אני לא יודע	3	2923
כל מה	2	2878
אתה חושב	2	2814
לך את	2	2803
על מה	2	2749
זה בסדר	2	2744
יודע מה	2	2732
אני צריך	2	2717
אף אחד	2	2678
לא היה	2	2677
תן לי	2	2662
אתה יכול	2	2648
את לא	2	2624
אני מצטער	2	2606
לעשות את	2	2592
את יודעת	2	2582
זה מה	2	2483
לא אני	2	2412
אתה עושה	2	2379
אנחנו לא	2	2371
שום דבר	2	2300
אף פעם	2	2279
אני לא יכול	3	2256
אני רק	2	2171
אם אתה	2	2167
הם לא	2	2126
אבל זה	2	2056
אני לא רוצה	3	2047
כן אני	2	2037
לעשות את זה	3	2027
אין לי	2	2026
למה אתה	2	2020
עם זה	2	1998
פעם לא	2	1988
הוא היה	2	1979
אני יודעת	2	1956
אני חייב	2	1876
היא לא	2	1869
מה אתה עושה	3	1862
אחד לא	2	1838
יכול להיות	2	1837
מה את	2	1828
אף פעם לא	3	1811
לא יודעת	2	1809
לא יכולה	2	1770
אני אוהב	2	1749
מה שאני	2	1713
אם לא	2	1672
אז מה	2	1663
לא הייתי	2	1638
גם אני	2	1620
אני הולך	2	1607
לראות את	2	1588
מה אני	2	1582
אתה צריך	2	1552
אנחנו צריכים	2	1544
אבל לא	2	1484
מעולם לא	2	1474
אמרתי לך	2	1465
אתה בסדר	2	1449
לעולם לא	2	1424
אתה חייב	2	1412
אני מקווה	2	1410
אף אחד לא	3	1410
מי זה	2	1406
זה יהיה	2	1397
לא זה	2	1387
אני חושבת	2	1364
את הכסף	2	1349
על ידי	2	1345
מה הוא	2	1329
איך אתה	2	1328
למה לא	2	1323
אני מבין	2	1320
שאני לא	2	1303
אני מתכוון	2	1292
זה נכון	2	1292
זה כל	2	1270
אם אני	2	1262
אתה מדבר	2	1260
אפילו לא	2	1259
אם זה	2	1255
נראה לי	2	1232
איך זה	2	1231
אני מניח	2	1231
אבל הוא	2	1230
לא חושב	2	1223
אם הוא	2	1217
אני רואה	2	1217
זה אני	2	1217
יש לו	2	1217
יותר טוב	2	1215
לא משנה	2	1210
זה רק	2	1208
את רוצה	2	1206
הוא אמר	2	1197
אתה לא יכול	3	1184
אתה הולך	2	1179
אז אני	2	1176
מה שלומך	2	1151
אוהב את	2	1148
מה שאתה	2	1139
מה יש	2	1137
כל זה	2	1136
כל הזמן	2	1132
רוצה את	2	1122
יכול לעשות	2	1114
הרבה זמן	2	1106
אתה יודע מה	3	1105
אבל אתה	2	1103
אתה רואה	2	1102
אני צריכה	2	1101
בן אדם	2	1096
אני מצטערת	2	1085
לראות אותך	2	1084
אתה מתכוון	2	1079
למה שלא	2	1071
אני יכולה	2	1068
אני לא יודעת	3	1067
את יכולה	2	1064
אתה מבין	2	1060
יותר מדי	2	1060
כי אני	2	1059
מי אתה	2	1055
כן זה	2	1047
בוקר טוב	2	1032
תודה לך	2	1031
שזה לא	2	1005
כמה זמן	2	997
אני אומר	2	995
לילה טוב	2	993
לא יכולים	2	990
לא מבין	2	986
אנחנו חייבים	2	980
אין לך	2	975
לו את	2	969
מה לעזאזל	2	969
אוהב אותך	2	966
עושה את	2	963
יודעת מה	2	958
כן המפקד	2	953
אני אוהבת	2	951
תודה רבה	2	948
על מה אתה	3	940
על כל	2	932
היה לי	2	927
קח את	2	925
מה עם	2	922
אנחנו יכולים	2	920
רואה את	2	916
מכיר את	2	911
תגיד לי	2	910
או לא	2	909
אני לא יכולה	3	905
אחר כך	2	899
חושב שאני	2	899
את מה	2	898
בן זונה	2	898
אני בטוח	2	897
לך משהו	2	890
זה טוב	2	886
אני פשוט	2	885
אז אתה	2	883
עוד לא	2	882
תני לי	2	882
לקחת את	2	877
לא יהיה	2	874
את חושבת	2	866
לא ראיתי	2	866
אבל אני לא	3	862
כן אבל	2	862
אל תדאג	2	859
ואני לא	2	857
לא מאמין	2	852
הכי טוב	2	851
זה נראה	2	849
לא צריך	2	839
לעזור לך	2	837
אין לנו	2	832
אתה אומר	2	832
זהו זה	2	832
רוצה להיות	2	831
כך הרבה	2	827
אבל אם	2	826
או משהו	2	826
שאתה לא	2	825
אנחנו הולכים	2	824
כבר לא	2	823
הרבה יותר	2	815
כן אדוני	2	814
לא לא לא	3	810
אני בסדר	2	808
זה הכל	2	803
אני לא חושב	3	801
בכל מקרה	2	801
אני מרגיש	2	799
עכשיו אני	2	797
את עושה	2	796
עדיין לא	2	796
אם את	2	795
רוצה לדעת	2	795
האם אתה	2	794
מה אתה מדבר	3	793
כן כן	2	792
אי פעם	2	788
לי מה	2	787
לא הולך	2	784
לא אכפת	2	783
סלח לי	2	781
אי אפשר	2	777
חושב שזה	2	774
אבא שלי	2	771
לא נראה	2	771
לדבר איתך	2	771
שיש לך	2	771
עם כל	2	770
הגיע הזמן	2	768
זה אומר	2	765
רוצה לראות	2	765
כל כך הרבה	3	762
אתה מוכן	2	759
לא אני לא	3	754
ראיתי את	2	746
יודע את	2	743
לי את זה	3	742
לא אתה	2	741
שאני רוצה	2	739
לנו את	2	735
זה כמו	2	734
אבל יש	2	732
למה את	2	731
צריך להיות	2	731
אני עושה	2	730
לא בסדר	2	730
על כך	2	714
לי על	2	709
למה אני	2	708
פשוט לא	2	708
טוב אני	2	704
לעשות זאת	2	702
את הדלת	2	701
לא יודע מה	3	700
האם זה	2	699
אתה בטוח	2	697
הבחור הזה	2	697
עושה את זה	3	697
את עצמך	2	695
אתם לא	2	694
יום אחד	2	694
תעשה את	2	694
זה ממש	2	689
אני מכיר	2	686
טוב יותר	2	682
לא היית	2	679
מה אתה רוצה	3	679
אני כבר	2	677
זה יכול	2	676
יש להם	2	675
הוא רוצה	2	674
חושב שאתה	2	674
בוא נלך	2	672
אני לא מאמין	3	671
בסדר גמור	2	671
שיש לי	2	670
אתה מכיר	2	669
לא ידעתי	2	669
אם יש	2	668
את צריכה	2	667
את העבודה	2	666
שהוא לא	2	666
זאת אומרת	2	665
אני באמת	2	664
לא נכון	2	663
ראית את	2	658
לא ממש	2	656
אני אוהב אותך	3	655
לא אוהב	2	652
זה לא היה	3	651
הוא יכול	2	650
שאתה רוצה	2	649
אתה נראה	2	648
רק רוצה	2	646
את האמת	2	645
לא רק	2	645
אוהבת את	2	642
בגלל זה	2	642
מה דעתך	2	638
אתם יודעים	2	637
מה את עושה	3	636
לקבל את	2	634
תן לי את	3	632
רוצה לדבר	2	630
אין שום	2	629
בסדר אני	2	627
לדבר על	2	627
עושה פה	2	625
אמר לי	2	621
הם היו	2	621
בכלל לא	2	619
אומר לך	2	618
כל דבר	2	618
כל אחד	2	613
דבר אחד	2	612
אכפת לי	2	610
זה אתה	2	609
כדור הארץ	2	606
מה אם	2	605
אתה צודק	2	604
מה אתה חושב	3	602
תעשה את זה	3	602
זה הוא	2	601
הייתי רוצה	2	600
את עצמי	2	599
בכל מקום	2	598
כל הכבוד	2	598
אבל זה לא	3	595
על עצמך	2	595
